MountId,ItemId,Name
1,6001,Company Chocobo
4,6002,Goobbue
5,6006,Legacy Chocobo
6,6008,Magitek Armor
8,6007,Coeurl
9,6009,Ahriman
15,6269,Unicorn
18,6990,Behemoth
19,6991,Cavalry Drake
20,6992,Laurel Goobbue
21,6993,Gilded Magitek Armor
22,6994,Nightmare
25,7553,Fat Chocobo
26,7554,Cavalry Elbst
27,7555,Bomb Palanquin
28,7844,Aithon
29,7845,Xanthos
30,7846,Gullfaxi
31,7847,Enbarr
32,7848,Warlion
33,7849,Warbear
34,8207,Draught Chocobo
35,8208,Direwolf
36,8209,Storm Warsteed
37,8210,Serpent Warsteed
38,8211,Flame Warsteed
40,8212,Markab
41,8702,Ceremony Chocobo
42,8726,Sleipnir
43,9354,Boreas
44,9353,Parade Chocobo
45,12075,Black Chocobo
46,10078,Adamantoise
47,10080,Kirin
48,10081,Logistics System
49,10079,Fenrir
52,12993,Amber Draught Chocobo
53,12071,Sanuwa
54,12072,Griffin
55,12073,Manacutter
56,12074,War Panther
58,12076,Gobwalker
59,12992,Twintania
62,13098,Witch's Broom
67,13287,Pegasus
68,13689,White Devil
69,13690,Red Baron
70,13288,Wyvern
71,23981,SDS Fenrir
72,14082,Kongamato
73,14083,Zu
74,14084,Bennu
75,14085,White Lanner
76,14086,Rose Lanner
77,14087,Round Lanner
78,14088,Warring Lanner
80,14089,Gloria-class Airship
81,14982,Flying Cumulus
82,14090,Original Fat Chocobo
83,15433,Astrope
84,15430,Fat Moogle
86,15429,Cloud Mallow
87,15431,Whisper-go
90,15432,Dark Lanner
91,15932,Aerodynamics System
92,15933,Disembodied Head
93,15934,Managarm
94,15946,Whisper A-go-go
95,16565,Goten
96,16566,Ginga
97,16561,Mystic Panda
98,16562,Sophic Lanner
99,21050,Starlight Bear
100,16564,Black Pegasus
101,16563,Arrhidaeus
102,16567,Raigo
104,17007,Demonic Lanner
105,17008,Firebird
106,17009,Eggshilaration System
108,17010,Lone Hellhound
109,17011,Pack Hellhound
110,17012,Archon Throne
111,16037,Syldra
112,20548,Falcon
113,17675,Lone Faehound
114,17676,Pack Faehound
115,20549,Blissful Kamuy
116,20550,Reveling Kamuy
121,20551,Magitek Predator
122,20552,Battle Lion
123,20553,Battle Bear
124,20554,Battle Panther
125,20555,Yol
126,20556,Alte Roite
127,20557,Centurio Tiger
130,20637,Ixion
133,21047,Legendary Kamuy
135,21049,Nezha Chariot
136,21048,Striped Ray
138,21051,Aquamarine Carbuncle
139,21192,Citrine Carbuncle
140,21052,Flying Chair
141,21053,Magitek Avenger
142,21054,Korpokkur Kolossus
143,21902,Red Hare
144,21903,Auspicious Kamuy
145,21906,Magitek Death Claw
146,21904,Marid
148,22459,True Griffin
150,21907,Tyrannosaur
151,24624,Regalia Type-G
152,21908,Broken Heart (right)
153,21909,Broken Heart (left)
154,21910,Typhon
156,21905,Air Force
158,23020,Lunar Kamuy
159,23023,Dodo
160,23021,Indigo Whale
161,22600,Rathalos
162,23025,Magitek Conveyor
163,23123,Prototype Conveyor
164,23022,Mikoshi
166,23024,Juedi
167,23125,Logistics Node
168,23124,Safeguard System
170,23982,Grani
171,23983,Fatter Cat
172,23984,Euphonious Kamuy
173,23985,Model O
174,23986,Magitek Sky Armor
175,24627,Magicked Carpet
176,23987,Magna Roader
177,23988,Fat Black Chocobo
178,24219,Eldthurs
179,24622,Maxima Roader
180,24628,Sabotender Emperador
181,24625,Kamuy of the Nine Tails
182,24623,Hallowed Kamuy
183,24629,War Tiger
184,24630,Eurekan Petrel
185,24631,Magitek Avenger A1
186,24626,Demi-Ozma
187,27967,Amaro
188,26779,Skyslipper
189,26778,Fae Gwiber
190,26780,Triceratops
191,26781,Ironfrog Mover
192,26783,Innocent Gwiber
193,26782,Magicked Bed
194,26784,Circus Ahriman
195,25057,Sunspun Cumulus
197,27971,Battle Tiger
200,28116,Morbol
201,28117,Portly Porxie
202,28118,Epimetheus
203,28119,Menoetius
204,28120,Construct VII
205,28121,Shadow Gwiber
206,28122,Spriggan Stonecarrier
207,28123,Forgiven Reticence
208,28124,Dhalmel
209,28125,Albino Karakul
211,28917,Ufiti
212,33684,Deinonychus
213,30102,Construct 14
214,28508,Kingly Peacock
215,30103,Great Vessel of Ronka
216,30104,Pteranodon
217,30105,Ruby Gwiber
218,30106,Hybodus
219,30107,Ramuh
220,30108,Rubellite Carbuncle
222,30859,Chocobo Carriage
223,30860,Rolling Tankard
224,30861,Gabriel α
225,30862,Megalotragus
226,30863,Gwiber of Light
228,30864,Jibanyan Couch
229,31396,Magitek Hyperconveyor
230,30866,Ehll Tou
231,30865,Incitatus
232,32837,Snowman
233,32838,Lunar Whale
234,32839,Eden
235,32840,Cerberus
236,32841,Big Shell
237,32842,Arion
238,32843,Emerald Gwiber
239,32844,Prototype Roader
240,32845,Chocorpokkur
241,32846,Gabriel Mark III
242,33674,Antelope Doe
243,33675,Antelope Stag
245,33218,Landerwaffe
