CardRowId,NpcName,ZoneName,MapX,MapY
2,Memeroon,Upper La Noscea,15,24
4,Triple Triad master,The Gold Saucer,4,7
5,Roger,Central Thanalan,20,21
8,Maisenta,New Gridania,12,11
8,Wymond,Ul'dah - Steps of Nald,10,9
9,Roger,Central Thanalan,20,21
11,Ourdilic,Coerthas Central Highlands,6,23
12,Aurifort of the Three Clubs,The Gold Saucer,4,8
12,Mother Miounne,New Gridania,12,14
13,Guhtwint of the Three Diamonds,The Gold Saucer,4,7
14,Memeroon,Upper La Noscea,15,24
15,Joellaut,Coerthas Central Highlands,13,16
15,Jonas of the Three Spades,The Gold Saucer,5,7
16,Maisenta,New Gridania,12,11
18,Baderon,Limsa Lominsa Upper Decks,12,11
20,Jonas of the Three Spades,The Gold Saucer,5,7
20,Trachtoum,Lower La Noscea,36,16
21,Mimidoa,Lower La Noscea,25,35
22,Helmhart,Eastern Thanalan,20,21
23,Buscarron,South Shroud,18,20
24,Piralnaut,East Shroud,17,27
25,Fufulupa,Western Thanalan,23,17
26,Ourdilic,Coerthas Central Highlands,6,23
27,Aurifort of the Three Clubs,The Gold Saucer,4,8
27,Guhtwint of the Three Diamonds,The Gold Saucer,4,7
28,Momodi,Ul'dah - Steps of Nald,12,10
29,Baderon,Limsa Lominsa Upper Decks,12,11
30,Mother Miounne,New Gridania,12,14
31,indolent imperial,Mor Dhona,12,17
32,indolent imperial,Mor Dhona,12,17
33,Mimidoa,Lower La Noscea,25,35
33,Sezul Totoloc,North Shroud,24,23
34,Helmhart,Eastern Thanalan,20,21
34,Rowena,Mor Dhona,22,5
35,Marcette,Central Shroud,17,19
35,Piralnaut,East Shroud,17,27
36,F'hobhas,Central Thanalan,24,14
37,Memeroon,Upper La Noscea,15,24
38,Ourdilic,Coerthas Central Highlands,6,23
38,Sezul Totoloc,North Shroud,24,23
40,Swift,Ul'dah - Steps of Nald,8,9
41,Landenel,South Shroud,17,28
41,Trachtoum,Lower La Noscea,36,16
42,Marcette,Central Shroud,17,19
43,Master Mogzin,The Churning Mists,16,29
43,Vorsaile Heuloix,New Gridania,10,11
44,Buscarron,South Shroud,18,20
45,Hab,Southern Thanalan,25,41
45,King Elmer III,The Gold Saucer,4,8
45,Ruhtwyda of the Three Hearts,The Gold Saucer,4,8
46,Fufulupa,Western Thanalan,23,17
46,Hab,Southern Thanalan,25,41
47,indolent imperial,Mor Dhona,12,17
48,Buscarron,South Shroud,18,20
48,Vorsaile Heuloix,New Gridania,10,11
49,Gegeruju,Eastern La Noscea,34,31
49,R'ashaht Rhiki,Limsa Lominsa Upper Decks,13,13
50,Ruhtwyda of the Three Hearts,The Gold Saucer,4,8
52,Landenel,South Shroud,17,28
53,Vorsaile Heuloix,New Gridania,10,11
54,R'ashaht Rhiki,Limsa Lominsa Upper Decks,13,13
56,Gegeruju,Eastern La Noscea,34,31
58,Sezul Totoloc,North Shroud,24,23
59,Joellaut,Coerthas Central Highlands,13,16
59,Swift,Ul'dah - Steps of Nald,8,9
60,Rowena,Mor Dhona,22,5
61,King Elmer III,The Gold Saucer,4,8
62,Hab,Southern Thanalan,25,41
64,indolent imperial,Mor Dhona,12,17
65,Mordyn,Limsa Lominsa Upper Decks,11,8
65,O'kalkaya,Limsa Lominsa Upper Decks,12,14
65,R'ashaht Rhiki,Limsa Lominsa Upper Decks,13,13
66,Vorsaile Heuloix,New Gridania,10,11
67,Swift,Ul'dah - Steps of Nald,8,9
70,Lewena,The Gold Saucer,5,6
72,Lewena,The Gold Saucer,5,6
73,Lewena,The Gold Saucer,5,6
73,hall overseer,The Battlehall,4,4
81,Noes,Old Gridania,11,6
82,Mogmill,The Churning Mists,28,35
